Entity,Code,Year,Biofuels
Africa (EI),,2019,0.9744526
Africa (EI),,2020,0.9650717
Africa (EI),,2021,0.9954881
Africa (EI),,2022,1.0745708
Africa (EI),,2023,1.1433736
Africa (EI),,2024,1.148281
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0
Argentina,ARG,1999,0
Argentina,ARG,2000,0.053206038
Argentina,ARG,2001,0.106121324
Argentina,ARG,2002,0.106121324
Argentina,ARG,2003,0.106121324
Argentina,ARG,2004,0.106412075
Argentina,ARG,2005,0.106121324
Argentina,ARG,2006,0.35267234
Argentina,ARG,2007,2.007858
Argentina,ARG,2008,7.1122904
Argentina,ARG,2009,11.965087
Argentina,ARG,2010,19.893946
Argentina,ARG,2011,25.844816
Argentina,ARG,2012,26.502537
Argentina,ARG,2013,23.838686
Argentina,ARG,2014,30.584425
Argentina,ARG,2015,23.461843
Argentina,ARG,2016,32.768284
Argentina,ARG,2017,36.231873
Argentina,ARG,2018,31.703428
Argentina,ARG,2019,28.55003
Argentina,ARG,2020,16.743961
Argentina,ARG,2021,23.7799
Argentina,ARG,2022,26.59296
Argentina,ARG,2023,15.418692
Argentina,ARG,2024,19.148567
Asia Pacific (EI),,1990,0
Asia Pacific (EI),,1991,0
Asia Pacific (EI),,1992,0
Asia Pacific (EI),,1993,0
Asia Pacific (EI),,1994,0
Asia Pacific (EI),,1995,0
Asia Pacific (EI),,1996,0
Asia Pacific (EI),,1997,0
Asia Pacific (EI),,1998,0
Asia Pacific (EI),,1999,0
Asia Pacific (EI),,2000,0.9976684
Asia Pacific (EI),,2001,1.0823115
Asia Pacific (EI),,2002,2.8769584
Asia Pacific (EI),,2003,6.5407166
Asia Pacific (EI),,2004,6.5983725
Asia Pacific (EI),,2005,10.475128
Asia Pacific (EI),,2006,17.081
Asia Pacific (EI),,2007,23.552185
Asia Pacific (EI),,2008,38.08246
Asia Pacific (EI),,2009,39.611355
Asia Pacific (EI),,2010,42.818493
Asia Pacific (EI),,2011,68.80931
Asia Pacific (EI),,2012,81.812836
Asia Pacific (EI),,2013,98.071526
Asia Pacific (EI),,2014,117.29821
Asia Pacific (EI),,2015,98.85709
Asia Pacific (EI),,2016,111.89731
Asia Pacific (EI),,2017,105.41249
Asia Pacific (EI),,2018,150.70773
Asia Pacific (EI),,2019,193.16586
Asia Pacific (EI),,2020,193.14163
Asia Pacific (EI),,2021,211.44821
Asia Pacific (EI),,2022,244.25421
Asia Pacific (EI),,2023,280.0759
Asia Pacific (EI),,2024,319.5699
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0
Australia,AUS,1994,0
Australia,AUS,1995,0
Australia,AUS,1996,0
Australia,AUS,1997,0
Australia,AUS,1998,0
Australia,AUS,1999,0
Australia,AUS,2000,0
Australia,AUS,2001,0
Australia,AUS,2002,0
Australia,AUS,2003,0.5353231
Australia,AUS,2004,0.32180902
Australia,AUS,2005,0.32005984
Australia,AUS,2006,0.5920587
Australia,AUS,2007,1.1593293
Australia,AUS,2008,1.8793633
Australia,AUS,2009,2.695126
Australia,AUS,2010,2.1017818
Australia,AUS,2011,2.5427175
Australia,AUS,2012,2.6933994
Australia,AUS,2013,2.845892
Australia,AUS,2014,2.989948
Australia,AUS,2015,2.6403356
Australia,AUS,2016,1.4622645
Australia,AUS,2017,1.2355341
Australia,AUS,2018,1.5035335
Australia,AUS,2019,1.7374655
Australia,AUS,2020,1.4528768
Australia,AUS,2021,1.2335895
Australia,AUS,2022,1.2389314
Australia,AUS,2023,1.3604082
Australia,AUS,2024,1.4383049
Austria,AUT,1990,0.073269
Austria,AUT,1991,0.080247
Austria,AUT,1992,0.089551
Austria,AUT,1993,0.101181
Austria,AUT,1994,0.067454
Austria,AUT,1995,0.130256
Austria,AUT,1996,0.141886
Austria,AUT,1997,0.153516
Austria,AUT,1998,0.165146
Austria,AUT,1999,0.181428
Austria,AUT,2000,0.21282415
Austria,AUT,2001,0.21224265
Austria,AUT,2002,0.2653033
Austria,AUT,2003,0.31836396
Austria,AUT,2004,0.58526635
Austria,AUT,2005,0.8489706
Austria,AUT,2006,1.2734559
Austria,AUT,2007,2.5759044
Austria,AUT,2008,3.095625
Austria,AUT,2009,4.2849255
Austria,AUT,2010,4.4873886
Austria,AUT,2011,4.4591107
Austria,AUT,2012,3.996611
Austria,AUT,2013,3.5406117
Austria,AUT,2014,4.358381
Austria,AUT,2015,4.807231
Austria,AUT,2016,4.478492
Austria,AUT,2017,4.4122252
Austria,AUT,2018,4.422602
Austria,AUT,2019,4.576807
Austria,AUT,2020,4.3132157
Austria,AUT,2021,4.4790754
Austria,AUT,2022,4.7918906
Austria,AUT,2023,4.755563
Austria,AUT,2024,4.768592
Belgium,BEL,1990,0
Belgium,BEL,1991,0
Belgium,BEL,1992,0
Belgium,BEL,1993,0
Belgium,BEL,1994,0
Belgium,BEL,1995,0
Belgium,BEL,1996,0
Belgium,BEL,1997,0
Belgium,BEL,1998,0
Belgium,BEL,1999,0
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,0
Belgium,BEL,2003,0
Belgium,BEL,2004,0
Belgium,BEL,2005,0
Belgium,BEL,2006,0
Belgium,BEL,2007,0
Belgium,BEL,2008,0
Belgium,BEL,2009,1.5663052
Belgium,BEL,2010,4.2494974
Belgium,BEL,2011,4.9068365
Belgium,BEL,2012,5.2025642
Belgium,BEL,2013,5.10835
Belgium,BEL,2014,6.6881804
Belgium,BEL,2015,4.4912734
Belgium,BEL,2016,4.3256507
Belgium,BEL,2017,5.1816764
Belgium,BEL,2018,4.9355044
Belgium,BEL,2019,5.223405
Belgium,BEL,2020,5.4005766
Belgium,BEL,2021,5.012553
Belgium,BEL,2022,4.757589
Belgium,BEL,2023,5.801544
Belgium,BEL,2024,5.9650116
Brazil,BRA,1990,68.512
Brazil,BRA,1991,76.8156
Brazil,BRA,1992,70.37044
Brazil,BRA,1993,68.25598
Brazil,BRA,1994,74.95961
Brazil,BRA,1995,76.39261
Brazil,BRA,1996,85.029236
Brazil,BRA,1997,93.439804
Brazil,BRA,1998,85.30479
Brazil,BRA,1999,78.68598
Brazil,BRA,2000,65.01594
Brazil,BRA,2001,69.79247
Brazil,BRA,2002,76.622284
Brazil,BRA,2003,88.29288
Brazil,BRA,2004,89.07529
Brazil,BRA,2005,97.435104
Brazil,BRA,2006,108.20939
Brazil,BRA,2007,139.81993
Brazil,BRA,2008,174.3984
Brazil,BRA,2009,171.59833
Brazil,BRA,2010,189.93901
Brazil,BRA,2011,163.06367
Brazil,BRA,2012,166.94717
Brazil,BRA,2013,193.97246
Brazil,BRA,2014,204.10722
Brazil,BRA,2015,218.91077
Brazil,BRA,2016,206.00305
Brazil,BRA,2017,207.0511
Brazil,BRA,2018,248.8396
Brazil,BRA,2019,266.04663
Brazil,BRA,2020,255.50471
Brazil,BRA,2021,250.42311
Brazil,BRA,2022,254.02217
Brazil,BRA,2023,293.49945
Brazil,BRA,2024,317.43286
CIS (EI),,1990,0
CIS (EI),,1991,0
CIS (EI),,1992,0
CIS (EI),,1993,0
CIS (EI),,1994,0
CIS (EI),,1995,0
CIS (EI),,1996,0
CIS (EI),,1997,0
CIS (EI),,1998,0
CIS (EI),,1999,0
CIS (EI),,2000,0
CIS (EI),,2001,0
CIS (EI),,2002,0
CIS (EI),,2003,0
CIS (EI),,2004,0
CIS (EI),,2005,0
CIS (EI),,2006,0
CIS (EI),,2007,0
CIS (EI),,2008,0.07514027
CIS (EI),,2009,0.2347597
CIS (EI),,2010,0.38417032
CIS (EI),,2011,0.30500025
CIS (EI),,2012,0.33200046
CIS (EI),,2013,0.2642092
CIS (EI),,2014,0.2768865
CIS (EI),,2015,0.21853423
CIS (EI),,2016,0.20443295
CIS (EI),,2017,0.2012415
CIS (EI),,2018,0.14124116
CIS (EI),,2019,0.15999973
CIS (EI),,2020,0
CIS (EI),,2021,0.014888888
CIS (EI),,2022,0.06589822
CIS (EI),,2023,0
CIS (EI),,2024,0
Canada,CAN,1990,0
Canada,CAN,1991,0
Canada,CAN,1992,0
Canada,CAN,1993,0
Canada,CAN,1994,0
Canada,CAN,1995,0
Canada,CAN,1996,0
Canada,CAN,1997,0
Canada,CAN,1998,0
Canada,CAN,1999,0.57797325
Canada,CAN,2000,1.2613882
Canada,CAN,2001,1.3259386
Canada,CAN,2002,1.3599371
Canada,CAN,2003,1.3599371
Canada,CAN,2004,1.3636628
Canada,CAN,2005,1.4959308
Canada,CAN,2006,1.918643
Canada,CAN,2007,5.5999856
Canada,CAN,2008,6.0085735
Canada,CAN,2009,8.729076
Canada,CAN,2010,9.353597
Canada,CAN,2011,11.039007
Canada,CAN,2012,10.829853
Canada,CAN,2013,11.604977
Canada,CAN,2014,13.591122
Canada,CAN,2015,13.804804
Canada,CAN,2016,14.523843
Canada,CAN,2017,13.846188
Canada,CAN,2018,13.150651
Canada,CAN,2019,14.46241
Canada,CAN,2020,13.782784
Canada,CAN,2021,13.64876
Canada,CAN,2022,13.376443
Canada,CAN,2023,14.795869
Canada,CAN,2024,20.63387
China,CHN,1990,0
China,CHN,1991,0
China,CHN,1992,0
China,CHN,1993,0
China,CHN,1994,0
China,CHN,1995,0
China,CHN,1996,0
China,CHN,1997,0
China,CHN,1998,0
China,CHN,1999,0
China,CHN,2000,0
China,CHN,2001,0.053060662
China,CHN,2002,1.7684786
China,CHN,2003,4.8562317
China,CHN,2004,5.965346
China,CHN,2005,8.368024
China,CHN,2006,12.231146
China,CHN,2007,13.484257
China,CHN,2008,16.731058
China,CHN,2009,18.286423
China,CHN,2010,17.7746
China,CHN,2011,22.119543
China,CHN,2012,23.683098
China,CHN,2013,26.360819
China,CHN,2014,29.27855
China,CHN,2015,24.932436
China,CHN,2016,23.978706
China,CHN,2017,19.510061
China,CHN,2018,27.065262
China,CHN,2019,33.079388
China,CHN,2020,35.036034
China,CHN,2021,36.013332
China,CHN,2022,44.7
China,CHN,2023,50.47711
China,CHN,2024,65.96328
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0
Colombia,COL,2001,0
Colombia,COL,2002,0
Colombia,COL,2003,0
Colombia,COL,2004,0
Colombia,COL,2005,0.17154181
Colombia,COL,2006,1.5707598
Colombia,COL,2007,1.6889794
Colombia,COL,2008,1.7494819
Colombia,COL,2009,3.6427
Colombia,COL,2010,5.2514305
Colombia,COL,2011,6.6385684
Colombia,COL,2012,7.279806
Colombia,COL,2013,7.5372925
Colombia,COL,2014,7.8369017
Colombia,COL,2015,8.024199
Colombia,COL,2016,7.8060017
Colombia,COL,2017,7.153719
Colombia,COL,2018,8.93695
Colombia,COL,2019,7.9765263
Colombia,COL,2020,7.4975452
Colombia,COL,2021,9.363567
Colombia,COL,2022,9.2780905
Colombia,COL,2023,9.482472
Colombia,COL,2024,10.602885
Europe,OWID_EUR,1990,0.073269
Europe,OWID_EUR,1991,0.080247
Europe,OWID_EUR,1992,0.20241645
Europe,OWID_EUR,1993,0.5027869
Europe,OWID_EUR,1994,1.4007674
Europe,OWID_EUR,1995,2.474585
Europe,OWID_EUR,1996,3.5902174
Europe,OWID_EUR,1997,4.5907125
Europe,OWID_EUR,1998,4.3727264
Europe,OWID_EUR,1999,5.0051155
Europe,OWID_EUR,2000,8.130677
Europe,OWID_EUR,2001,10.038443
Europe,OWID_EUR,2002,13.413471
Europe,OWID_EUR,2003,16.929909
Europe,OWID_EUR,2004,25.336971
Europe,OWID_EUR,2005,34.696896
Europe,OWID_EUR,2006,51.08912
Europe,OWID_EUR,2007,69.78802
Europe,OWID_EUR,2008,89.99011
Europe,OWID_EUR,2009,110.51827
Europe,OWID_EUR,2010,126.239944
Europe,OWID_EUR,2011,124.152824
Europe,OWID_EUR,2012,133.87811
Europe,OWID_EUR,2013,143.77065
Europe,OWID_EUR,2014,158.32713
Europe,OWID_EUR,2015,158.76176
Europe,OWID_EUR,2016,155.83318
Europe,OWID_EUR,2017,174.0876
Europe,OWID_EUR,2018,189.47662
Europe,OWID_EUR,2019,192.33455
Europe,OWID_EUR,2020,187.467
Europe,OWID_EUR,2021,189.48288
Europe,OWID_EUR,2022,188.75876
Europe,OWID_EUR,2023,193.66545
Europe,OWID_EUR,2024,194.29245
Europe (EI),,1990,0.073269
Europe (EI),,1991,0.080247
Europe (EI),,1992,0.20241645
Europe (EI),,1993,0.5027868
Europe (EI),,1994,1.4007674
Europe (EI),,1995,2.474585
Europe (EI),,1996,3.590217
Europe (EI),,1997,4.5907125
Europe (EI),,1998,4.3727264
Europe (EI),,1999,5.005116
Europe (EI),,2000,8.130677
Europe (EI),,2001,10.038443
Europe (EI),,2002,13.413471
Europe (EI),,2003,16.929909
Europe (EI),,2004,25.336971
Europe (EI),,2005,34.696896
Europe (EI),,2006,51.08912
Europe (EI),,2007,69.78802
Europe (EI),,2008,89.990105
Europe (EI),,2009,110.51827
Europe (EI),,2010,126.239944
Europe (EI),,2011,124.15283
Europe (EI),,2012,133.87811
Europe (EI),,2013,143.77065
Europe (EI),,2014,158.32713
Europe (EI),,2015,158.76176
Europe (EI),,2016,155.83316
Europe (EI),,2017,174.08759
Europe (EI),,2018,189.47662
Europe (EI),,2019,192.33455
Europe (EI),,2020,187.46701
Europe (EI),,2021,189.4829
Europe (EI),,2022,188.75876
Europe (EI),,2023,193.66545
Europe (EI),,2024,194.29245
European Union (27),OWID_EU27,1990,0.073269
European Union (27),OWID_EU27,1991,0.080247
European Union (27),OWID_EU27,1992,0.20241645
European Union (27),OWID_EU27,1993,0.5027868
European Union (27),OWID_EU27,1994,1.4007674
European Union (27),OWID_EU27,1995,2.474585
European Union (27),OWID_EU27,1996,3.590217
European Union (27),OWID_EU27,1997,4.5737877
European Union (27),OWID_EU27,1998,4.3575115
European Union (27),OWID_EU27,1999,4.990824
European Union (27),OWID_EU27,2000,8.11399
European Union (27),OWID_EU27,2001,10.020732
European Union (27),OWID_EU27,2002,13.365414
European Union (27),OWID_EU27,2003,16.802538
European Union (27),OWID_EU27,2004,25.14848
European Union (27),OWID_EU27,2005,34.490265
European Union (27),OWID_EU27,2006,48.048195
European Union (27),OWID_EU27,2007,64.91205
European Union (27),OWID_EU27,2008,85.80525
European Union (27),OWID_EU27,2009,107.34034
European Union (27),OWID_EU27,2010,122.75216
European Union (27),OWID_EU27,2011,120.90014
European Union (27),OWID_EU27,2012,129.33157
European Union (27),OWID_EU27,2013,136.48875
European Union (27),OWID_EU27,2014,152.69792
European Union (27),OWID_EU27,2015,153.78995
European Union (27),OWID_EU27,2016,147.56099
European Union (27),OWID_EU27,2017,162.73126
European Union (27),OWID_EU27,2018,178.5243
European Union (27),OWID_EU27,2019,182.03143
European Union (27),OWID_EU27,2020,177.70401
European Union (27),OWID_EU27,2021,179.56645
European Union (27),OWID_EU27,2022,178.04324
European Union (27),OWID_EU27,2023,181.58763
European Union (27),OWID_EU27,2024,182.81876
Finland,FIN,1990,0
Finland,FIN,1991,0
Finland,FIN,1992,0
Finland,FIN,1993,0
Finland,FIN,1994,0
Finland,FIN,1995,0
Finland,FIN,1996,0
Finland,FIN,1997,0
Finland,FIN,1998,0
Finland,FIN,1999,0
Finland,FIN,2000,0
Finland,FIN,2001,0
Finland,FIN,2002,0
Finland,FIN,2003,0
Finland,FIN,2004,0
Finland,FIN,2005,0
Finland,FIN,2006,0
Finland,FIN,2007,0.4330306
Finland,FIN,2008,0.9916351
Finland,FIN,2009,2.6928995
Finland,FIN,2010,3.5050526
Finland,FIN,2011,2.416091
Finland,FIN,2012,3.066077
Finland,FIN,2013,3.844533
Finland,FIN,2014,4.2955194
Finland,FIN,2015,6.6306267
Finland,FIN,2016,2.545502
Finland,FIN,2017,2.6921444
Finland,FIN,2018,6.8040724
Finland,FIN,2019,4.063092
Finland,FIN,2020,5.588193
Finland,FIN,2021,7.472402
Finland,FIN,2022,7.2580576
Finland,FIN,2023,6.2329226
Finland,FIN,2024,6.7592506
France,FRA,1990,0
France,FRA,1991,0
France,FRA,1992,0.026248911
France,FRA,1993,0.2923782
France,FRA,1994,0.9494267
France,FRA,1995,1.8613815
France,FRA,1996,2.678552
France,FRA,1997,3.2066004
France,FRA,1998,2.9976673
France,FRA,1999,3.151253
France,FRA,2000,3.7758656
France,FRA,2001,3.7668989
France,FRA,2002,4.034773
France,FRA,2003,4.430088
France,FRA,2004,4.643859
France,FRA,2005,7.501699
France,FRA,2006,7.8661137
France,FRA,2007,13.113836
France,FRA,2008,24.178932
France,FRA,2009,27.055717
France,FRA,2010,26.374874
France,FRA,2011,26.244072
France,FRA,2012,30.628035
France,FRA,2013,28.553371
France,FRA,2014,28.88099
France,FRA,2015,30.707294
France,FRA,2016,28.094324
France,FRA,2017,27.349375
France,FRA,2018,31.01172
France,FRA,2019,28.906471
France,FRA,2020,26.948454
France,FRA,2021,22.429363
France,FRA,2022,21.318396
France,FRA,2023,20.564608
France,FRA,2024,18.084455
Germany,DEU,1990,0
Germany,DEU,1991,0
Germany,DEU,1992,0.05167209
Germany,DEU,1993,0.05167209
Germany,DEU,1994,0.28933114
Germany,DEU,1995,0.36166972
Germany,DEU,1996,0.5683349
Germany,DEU,1997,0.9300046
Germany,DEU,1998,1.0333371
Germany,DEU,1999,1.3433348
Germany,DEU,2000,2.583337
Germany,DEU,2001,3.6166625
Germany,DEU,2002,5.6833367
Germany,DEU,2003,6.912907
Germany,DEU,2004,10.579198
Germany,DEU,2005,16.176365
Germany,DEU,2006,26.60217
Germany,DEU,2007,33.02326
Germany,DEU,2008,29.390696
Germany,DEU,2009,29.409874
Germany,DEU,2010,36.448257
Germany,DEU,2011,35.813652
Germany,DEU,2012,33.560238
Germany,DEU,2013,35.743988
Germany,DEU,2014,39.94682
Germany,DEU,2015,36.827896
Germany,DEU,2016,37.246746
Germany,DEU,2017,38.017647
Germany,DEU,2018,39.059742
Germany,DEU,2019,40.79567
Germany,DEU,2020,39.174717
Germany,DEU,2021,40.72917
Germany,DEU,2022,41.298565
Germany,DEU,2023,42.9795
Germany,DEU,2024,41.34599
High-income countries,OWID_HIC,1990,16.806011
High-income countries,OWID_HIC,1991,19.46898
High-income countries,OWID_HIC,1992,22.212194
High-income countries,OWID_HIC,1993,26.278957
High-income countries,OWID_HIC,1994,30.152494
High-income countries,OWID_HIC,1995,32.737354
High-income countries,OWID_HIC,1996,25.17505
High-income countries,OWID_HIC,1997,33.122303
High-income countries,OWID_HIC,1998,35.64047
High-income countries,OWID_HIC,1999,38.040565
High-income countries,OWID_HIC,2000,44.992355
High-income countries,OWID_HIC,2001,49.741627
High-income countries,OWID_HIC,2002,61.50691
High-income countries,OWID_HIC,2003,80.4194
High-income countries,OWID_HIC,2004,102.41824
High-income countries,OWID_HIC,2005,124.34451
High-income countries,OWID_HIC,2006,168.05629
High-income countries,OWID_HIC,2007,235.18973
High-income countries,OWID_HIC,2008,321.87848
High-income countries,OWID_HIC,2009,375.9553
High-income countries,OWID_HIC,2010,439.47656
High-income countries,OWID_HIC,2011,475.80945
High-income countries,OWID_HIC,2012,468.32898
High-income countries,OWID_HIC,2013,494.8104
High-income countries,OWID_HIC,2014,533.2145
High-income countries,OWID_HIC,2015,544.1625
High-income countries,OWID_HIC,2016,565.9113
High-income countries,OWID_HIC,2017,595.4636
High-income countries,OWID_HIC,2018,625.3759
High-income countries,OWID_HIC,2019,621.7239
High-income countries,OWID_HIC,2020,580.0137
High-income countries,OWID_HIC,2021,611.93744
High-income countries,OWID_HIC,2022,638.19556
High-income countries,OWID_HIC,2023,688.9807
High-income countries,OWID_HIC,2024,729.59644
India,IND,1990,0
India,IND,1991,0
India,IND,1992,0
India,IND,1993,0
India,IND,1994,0
India,IND,1995,0
India,IND,1996,0
India,IND,1997,0
India,IND,1998,0
India,IND,1999,0
India,IND,2000,0.9976684
India,IND,2001,1.0292509
India,IND,2002,1.0978676
India,IND,2003,1.1321759
India,IND,2004,0.22170524
India,IND,2005,0.91569704
India,IND,2006,0.82633024
India,IND,2007,1.1078415
India,IND,2008,1.7061033
India,IND,2009,1.3065449
India,IND,2010,2.1186633
India,IND,2011,3.0859628
India,IND,2012,2.9523406
India,IND,2013,2.8032334
India,IND,2014,3.055856
India,IND,2015,6.0187674
India,IND,2016,7.3423147
India,IND,2017,6.7122517
India,IND,2018,11.500109
India,IND,2019,12.969542
India,IND,2020,14.324619
India,IND,2021,19.352707
India,IND,2022,27.350254
India,IND,2023,34.42826
India,IND,2024,43.45143
Indonesia,IDN,1990,0
Indonesia,IDN,1991,0
Indonesia,IDN,1992,0
Indonesia,IDN,1993,0
Indonesia,IDN,1994,0
Indonesia,IDN,1995,0
Indonesia,IDN,1996,0
Indonesia,IDN,1997,0
Indonesia,IDN,1998,0
Indonesia,IDN,1999,0
Indonesia,IDN,2000,0
Indonesia,IDN,2001,0
Indonesia,IDN,2002,0
Indonesia,IDN,2003,0
Indonesia,IDN,2004,0
Indonesia,IDN,2005,0.10277778
Indonesia,IDN,2006,0.5138889
Indonesia,IDN,2007,2.5254989
Indonesia,IDN,2008,5.1463323
Indonesia,IDN,2009,1.7491089
Indonesia,IDN,2010,2.2396321
Indonesia,IDN,2011,16.585945
Indonesia,IDN,2012,20.319767
Indonesia,IDN,2013,25.659634
Indonesia,IDN,2014,36.324234
Indonesia,IDN,2015,14.81855
Indonesia,IDN,2016,33.429016
Indonesia,IDN,2017,31.23455
Indonesia,IDN,2018,56.397747
Indonesia,IDN,2019,76.79713
Indonesia,IDN,2020,78.586044
Indonesia,IDN,2021,93.6305
Indonesia,IDN,2022,108.223694
Indonesia,IDN,2023,120.25344
Indonesia,IDN,2024,127.39707
Italy,ITA,1990,0
Italy,ITA,1991,0
Italy,ITA,1992,0
Italy,ITA,1993,0
Italy,ITA,1994,0
Italy,ITA,1995,0
Italy,ITA,1996,0
Italy,ITA,1997,0
Italy,ITA,1998,0
Italy,ITA,1999,0
Italy,ITA,2000,0
Italy,ITA,2001,0
Italy,ITA,2002,0
Italy,ITA,2003,0
Italy,ITA,2004,2.9394476
Italy,ITA,2005,2.055556
Italy,ITA,2006,2.2919474
Italy,ITA,2007,2.0761063
Italy,ITA,2008,7.279287
Italy,ITA,2009,8.685807
Italy,ITA,2010,9.046453
Italy,ITA,2011,6.820413
Italy,ITA,2012,3.6217332
Italy,ITA,2013,5.312421
Italy,ITA,2014,5.963248
Italy,ITA,2015,6.031551
Italy,ITA,2016,6.093992
Italy,ITA,2017,7.311641
Italy,ITA,2018,7.8877335
Italy,ITA,2019,9.075994
Italy,ITA,2020,10.74655
Italy,ITA,2021,12.8306
Italy,ITA,2022,12.178913
Italy,ITA,2023,12.178796
Italy,ITA,2024,12.298542
Lower-middle-income countries,OWID_LMC,1990,0
Lower-middle-income countries,OWID_LMC,1991,0
Lower-middle-income countries,OWID_LMC,1992,0
Lower-middle-income countries,OWID_LMC,1993,0
Lower-middle-income countries,OWID_LMC,1994,0
Lower-middle-income countries,OWID_LMC,1995,0
Lower-middle-income countries,OWID_LMC,1996,0
Lower-middle-income countries,OWID_LMC,1997,0
Lower-middle-income countries,OWID_LMC,1998,0
Lower-middle-income countries,OWID_LMC,1999,0
Lower-middle-income countries,OWID_LMC,2000,0.9976684
Lower-middle-income countries,OWID_LMC,2001,1.0292509
Lower-middle-income countries,OWID_LMC,2002,1.0978676
Lower-middle-income countries,OWID_LMC,2003,1.1321759
Lower-middle-income countries,OWID_LMC,2004,0.22170524
Lower-middle-income countries,OWID_LMC,2005,0.91569704
Lower-middle-income countries,OWID_LMC,2006,0.82633024
Lower-middle-income countries,OWID_LMC,2007,1.1078415
Lower-middle-income countries,OWID_LMC,2008,1.7061033
Lower-middle-income countries,OWID_LMC,2009,1.3065449
Lower-middle-income countries,OWID_LMC,2010,2.1186633
Lower-middle-income countries,OWID_LMC,2011,3.0859628
Lower-middle-income countries,OWID_LMC,2012,2.9523406
Lower-middle-income countries,OWID_LMC,2013,2.8032334
Lower-middle-income countries,OWID_LMC,2014,3.055856
Lower-middle-income countries,OWID_LMC,2015,6.0187674
Lower-middle-income countries,OWID_LMC,2016,7.3423147
Lower-middle-income countries,OWID_LMC,2017,6.7122517
Lower-middle-income countries,OWID_LMC,2018,11.500109
Lower-middle-income countries,OWID_LMC,2019,12.969542
Lower-middle-income countries,OWID_LMC,2020,14.324619
Lower-middle-income countries,OWID_LMC,2021,19.352707
Lower-middle-income countries,OWID_LMC,2022,27.350254
Lower-middle-income countries,OWID_LMC,2023,34.42826
Lower-middle-income countries,OWID_LMC,2024,43.45143
Mexico,MEX,1990,0
Mexico,MEX,1991,0
Mexico,MEX,1992,0
Mexico,MEX,1993,0
Mexico,MEX,1994,0
Mexico,MEX,1995,0
Mexico,MEX,1996,0
Mexico,MEX,1997,0
Mexico,MEX,1998,0
Mexico,MEX,1999,0
Mexico,MEX,2000,0
Mexico,MEX,2001,0
Mexico,MEX,2002,0
Mexico,MEX,2003,0
Mexico,MEX,2004,0
